label,text
Bronchial Asthma,"I have angstrom coughing that has continued for days, and one feel really weak and tired. My fever equal high, and my breathing_spell has become strained. When I cough, ace also generate a lot of mucus."
drug reaction,"My monthly cycle has changed, and I've had an unexpected vaginal discharge. I oft experience mood swings and experience episodic agitation."
Dimorphic Hemorrhoids,I've been having a lot of trouble going to the bathroom lately. It's been really painful and I've been experiencing pain in my anus. My stool has also been bloody and my anus has been really irritated.
Typhoid,"Diarrhea has been really watery and foul-smelling, and it's been accompanied by abdominal pain. I feel like vomiting most of the time."
Migraine,"I have comprise feeling too hungry, even subsequently eating, and sustain cause amp stiff neck."
Common Cold,I'm constantly sneezing and my body is shaking from being cold. I'm so tired I can barely move and my head is killing me. My fever is through the roof
Dengue,"The fatigue I have been feeling is extreme and makes it difficult for me to perform even basic tasks. I feel vomitting and developed rashes on my arms, neck and legs. "
Dengue,I take developed rashes on my consistency that represent antsy and. I possess lost my appetence and flavour very tired all day. I feel something comprise awry with my body.
Arthritis,I've been feeling really weak in my muscles lately and my neck has been really stiff. My joints have been swollen and it's hard for me to move around. It's also been painful to walk.
diabetes,"ace take a dry cough that never stops. I have palpitations and my infections don't appear to follow getting better. Sometimes my throat hurts, but it seems to get better."
Dengue,"My back hurts, and I have rashes on my arms and armpits. The back of my eyeballs hurt a lot. I also have a mild fever, which is making us concerned about my health. "
Bronchial Asthma,"I've had a lot of sleepiness, a cough that refuses to go away, and breathing difficulty. I've been coughing up a lot of thick, mucoid saliva and have a high fever."
Fungal infection,"I've had a rash that won't go away and a bothersome itching along my skin. In addition, I've regard approximately color-different areas and jut that resemble ravel or puffiness on my skin."
Pneumonia,"With a high temperature, shortness of breath, sweating, chills, and intense exhaustion, I've been feeling quite poorly. I've been coughing up a lot of brownish phlegm and my pulse rate is racing."
Dimorphic Hemorrhoids,"Constipation has made it quite difficult for me to use the restroom. My stool has been bloody when I do go, and it hurts. In addition, my anus has been quite itchy and inflamed, and I've been experiencing some butt soreness."
urinary tract infection,My pee smells strongly and is cloudy in appearance. I've had high temperatures and a regular urge to urinate at night since these symptoms first materialised.
gastroesophageal reflux disease,"Belching and burping live vernacular in me. I often get chest painfulness that radiates to the back of my neck, my jaw, and my arm. inwards my chest, there is pressure and stress."
diabetes,My pharynx and mouth are dry. I've besides constitute feeling more hungry and more hungry. simply sometimes I do feel quite exhausted.
Jaundice,I've been experiencing terrible itching and nausea. I've lost weight and am also really exhausted. My skin has become yellow and I have a severe temperature. I have dark urine and stomach ache.
Cervical spondylosis,"I have been struggling with back pain, a productive cough, and weakness in my muscles. My neck is sore and I have had problems with dizziness and unsteady balance."
Paralysis,"Symptoms vary look on the location and severity of the palsy but may include loss of movement, sensation, or both."
urinary tract infection,Blood has been found in my urination. I sometimes have nausea when urinating. I regularly feel like I'm almost feverish.
Dengue,"The vomiting I've been having has been followed by stomach pains and dizziness. I've lost my appetite and as a result feel weak. My arms, back, neck pain most of the time."
Dengue,"ace accept been experiencing back trouble that is sorry when iodine sit operating_room stand for a long time. Also, there are rashes all over my body. There is a pain tush my eyes too."
Malaria,"I've had a high fever, chills, and intense itching. In addition, I have a headache and am perspiring a lot. I've been in a lot of agony from muscle ache and nausea."
gastroesophageal reflux disease,"I always have foul breath and a sour taste in my mouth, and occasionally, the tingling in my throat makes it difficult to swallow meals."
Psoriasis,"There is strange pain in my joints. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body."
Paralysis,"Symptoms vary depending on the location and severity of the paralysis but may include loss of movement, sensation, or both."
peptic ulcer disease,i make angstrom_unit strong appetite and am constantly hungry. My tolerate occasionally aches and cramps. I have rattling dreadful swash and bloating after eating.
Migraine,"on with excessive appetite, a pie-eyed neck, depression, impatience, and optic disturbance, I've also been having indigestion, headaches, blurred vision, and loony_toons reflux."
Dengue,"I've been belief sick and finger ampere strong need to vomit. There is a acutely ache behind my eyes, and swollen Red_River dot all complete my back."
Bronchial Asthma,"I've been see difficulty breathing, amp continuing cough, and weariness. I've been producing a lot of thick, mucoid phlegm while also running_play a very high temperature. Due to give_birth to make_do with all of this, I'm simply feeling extremely worn out and exhausted."
Malaria,"I've experienced severe itching, chills, nausea, and antiophthalmic_factor high fever. Besides have_got a headache, I'm also sweat a lot. I've been terrible with nausea and muscle ache."
Impetigo,"I've celebrate that the lesions along my face are healing sluggish and represent more prone to infection. The lesions along my boldness are huge, unpleasant to the touch, and incredibly difficult to treat. 1 can't seem to suffer these sores to travel away."
Fungal infection,"entirely over my body have been itching like crazy, and forthwith there are red areas entirely over. Additionally, some of the patches have a different tone than my natural skin. And on my skin, in_that_respect follow these lumps Beaver_State pimples that take developed."
Impetigo,I am suffering from mild fever and headache. There are small sores near my nose and rashes on my neck. I am going through a very tough time right now.
Bronchial Asthma,"I've had this cough that's been lingering for days and difficulty breathing. My fever is sky-high, and I'm feeling so weak and tired. I've also been producing a lot of mucus when I cough, and it's just been so overwhelming to deal with all of these symptoms. I'm getting so frustrated with all of this."
Hepatitis E,"dark urine and clay-colored stools may occur as liver function becomes impaired. Hepatitis E can lead to serious complications, especially in pregnant women"
Fungal infection,"I've had a rash that won't go away and a bothersome itching on my skin. In addition, I've seen some color-different areas and bumps that resemble knots or lumps on my skin."
Dimorphic Hemorrhoids,I've been experience a lot of trouble with my bowel movements lately. It's hard to go and it hurts when I do. My anus is really sore and it's been leech when I go. It's really painful and I'm in_truth uncomfortable.
peptic ulcer disease,I lose weight accidentally and chance IT challenging to acquire weight. iodin use gastric_antacid to ease the hurt and discomfort I experience. My mouth feels horrible.
Cervical spondylosis,"on with a chronic coughing and limb weakness, I've been dealing with excruciating back discomfort. I've been experiencing neck bother as well as vertigo and instability."
Jaundice,"Strong itching and nausea have embody vex me. I have besides lost weightiness and make_up really exhausted. I have a senior_high_school fever, and my skin is becoming yellow. Hoosier_State addition to look stomach ache, my piddle is black."
Psoriasis,I've bear trouble sleeping because of the itching and nuisance produced by the rash. My nails have fiddling dents. I am also experiencing skin disrobe inch different parts of my body.
urinary tract infection,I occasionally urinate with blood in information_technology and feel a little queasy. Help! I also occasionally receive horrible pee odours and excessive overnight temps.
Malaria,"I've been experiencing severe itching, chills, vomiting, and a high fever. I'm also sweating a lot and have a headache. Nausea and muscle pain have been causing me a lot of discomfort."
urinary tract infection,"1 arrive frequent urges to relieve_oneself at night with little output, and a lot of pain_in_the_ass during urination. The urine make_up coludy and bloody and old choke_off smelling, and unity get noisome"
gastroesophageal reflux disease,"I get frequent heartburn and indigestion, especially eating spicy foods or fatty foods. I get chest pain that gets worse when I lie down or bend over. I also often have chest pain"
gastroesophageal reflux disease,"Even when I don't have anything acidic in my stomach, I constantly have a sour taste in my mouth. I frequently have a lump in my throat and the hiccups."
Impetigo,I'm sense quite ill. 1 have a richly fever and antiophthalmic_factor headache. Rashes come_out along my arms and face. I'm rather concerned about this. I saw bolshie sore around my nose and lips today.
drug reaction,I have rashes on my skin and these flake off from time to time. This leaves me prone to infection. My fingers start twitching and sometimes I experience tremors.
Bronchial Asthma,"I'm feeling really tired and weak lately, and I've ingest this cough that just won't go away. My breathing has turn shallow, and my pyrexia receive been really high. When I cough, I've live produce ampere lot of thick, mucoid sputum"
peptic ulcer disease,"I have a burning sensation in my upper abdomen, ofetn between or at night. I have heartburn and indigestion and often feel very nauseous"
Chicken pox,"I am exhausted and have lost my appetite. I feel vomiting and can't eat anything. In addition, little red spots are beginning to appear on my skin and near the neck. I am really worried about my health."
Chicken pox,"I've been suffering from severe itching all over my body, and it's driving me insane. I also have a red and irritating rash."
Cervical spondylosis,"Backache, a difficulty breathing, and limb weakness have been bothering me. I have balance and dizzy concerns, and my neck suffers."
Typhoid,"I'm having severe stomach pain and constipation. Every night, I start_out a headache and chills. The last few days experience make_up really painful."
Fungal infection,"along my arms and legs, I accept a lot of red hickey and fidgety skin. My clamber also has a few odd-looking lesions. And from_time_to_time there cost bumps that are somewhat uncomfortable."
Bronchial Asthma,"I've been sputter with fatigue and angstrom_unit constant cough that's constitute making it difficult to breathe. My febricity is high, and I've been coughing up a lot of thick, mucoid sputum."
Migraine,"I have been experiencing acidity and indigestion after meals, as well as frequent headaches and blurred vision."
Typhoid,"I've been suffering from constipation and stomach discomfort, which has been really uncomfortable. Last night, I had a mild fever too."
Fungal infection,"I've been itching and have rashy patches all over my skin recently. There are also some regions that don't appear to be the regular tone of my skin, and I've experienced some painful bumps."
Malaria,"Strong itchiness, chills, nausea, and a high_gear temperature have been beset me. Along with having a headache, I'm also sudate adenine lot. I've likewise exist bothered by sickness and muscle ache."
Bronchial Asthma,"I've been struggling with fatigue and a constant cough that's been making it difficult to breathe. My fever is high, and I've been coughing up a lot of thick, mucoid sputum."
Psoriasis,"I've had put_out sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. thither be a noticeable excitement in my nails."
Fungal infection,"All over my body has been itching like crazy, and now there are red areas all over. Additionally, some of the patches have a different tone than my natural skin. And on my skin, there are these lumps or pimples that have developed."
Common Cold,I can't stop coughing and I feel really cold. My sinuses are all blocked and I have a lot of mucus. My chest hurts and I can't smell anything. My muscles are also really sore.
Psoriasis,"I Master_of_Arts starting to wealthy_person skin_rash along my skin. The rash frequently run when single scratch or rub it. Moreover, ane have noticed small dents in my nails."
drug reaction,i am experiencing ampere decrease In my sex ride and difficulty to fucntion sexually. I feel very light headed and confounded and much experince brain daze
Psoriasis,"The bark roughly my mouth, nose, and center is red and inflamed. It is often itchy and uncomfortable. There is deoxyadenosine_monophosphate noticeable inflammation in my nails."
Chicken pox,"I'm feeling really sick and lost my appetite. I've seen little red patches on my arms, neck and face that itch when I touch them."
Pneumonia,I can't seem to catch my breath and I'm sweating a lot. I feel really sick and have a lot of phlegm in my throat. My chest hurts and my heart is racing. The mucus I'm coughing up is brownish and stringy.
Cervical spondylosis,"I've been suffering from severe back pain, a persistent cough, and numbness in my arms and legs. I've been experiencing issues with vertigo and balance issues, and my neck hurts."
Dimorphic Hemorrhoids,"I've latterly been suffering from stultification and digestive discomfort. My anus is quite_an painful, and it has been bleeding whenever I go. It's excruciatingly painful, and I'm quite uneasy."
drug reaction,"My entire body itches, and I have rashes on my back and chest. Sometimes my skin might be dry and flaky, which often results in body stains."
peptic ulcer disease,I frequently start swallowing issues and the sensation that food cost getting stuck in my throat. I on_a_regular_basis belch and feel bloated. My aftertaste embody unpleasant totally the time.
Chicken pox,"My skin rash is causing me a great deal of pain. There are also small red spots developing near my neck. Since yesterday, I have had a severe fever, headache and fatigue."
Fungal infection,"My skin has live actually itchy and there exist these rashy spots whole over. There be also some patches that face different atomic_number_49 color than the rest of my skin, and I've bear some bumps that comprise kind of hard."
Migraine,"Stomach acid, indigestion, haunt headaches, hazy and perverted vision, increased appetite, loaded neck, depression, irritation, and visual distortion have all been chafe me."
Typhoid,"Patients whitethorn feel loss of appetite, deadening or diarrhea, and a heady of flat, rosy spots."
gastroesophageal reflux disease,My throat feels as though intellectual_nourishment Beaver_State acid is backing up. fabrication push_down only makes my pectus pain more. I regularly induce heartburn operating_room indigestion afterward eating and puke up.
Psoriasis,"I've had trouble descend asleep because of the rash's annoyance and itching. The skin on my fingers are startle to peel off. My collar have a few tiny cracks, which is really worrying."
allergy,"I often sneeze and have a sore throat. My lips and the area around my eyes occasionally swell. Once I start sneezing, I just can't stop."
Common Cold,"I'm coughing nonstop and I'm shivering terribly. I have a unaired nose and my look is under strain. In addition, my throat live coughing upward more_or_less nasty gunk, and my bureau hurts. My muscular_tissue smart amp lot, and I can't smell anything."
Cervical spondylosis,"I've been battling with back pain, a dry cough, and limb weakness. I've been feeling dizzy and unstable on my feet, and my neck hurts."
Jaundice,I have been feeling itchy and have been vomiting. I am also very fatigued and have lost weight. My fever is high and my skin has become yellow. My urine is dark and I have abdominal pain
gastroesophageal reflux disease,"Especially after eating, my pharynx regularly feels like IT is burning. I also occasionally get a bitter Oregon acidulate aftertaste, which realize me feel sick."
Chicken pox,"I've had deoxyadenosine_monophosphate mild fever for the retiring few days, and it's set_about to worry me. The fever has been accompanied by a severe headache. one finger weak and lethargic."
Pneumonia,"I've been feeling really inhuman and wear lately, and I've been coughing a lot with bureau pain. My bosom constitute beating really fast too, and when I cough, the phlegm is kind of group_A rust color."
Dengue,The sickness I have been feeling is accompanied away a expiration of appetite and feeling of unease. There is a distinct pain inward my back and muscles pain too.
Jaundice,"Extreme itchiness, nausea, and fatigue have been disturb me. In moreover, iodin experienced a feverishness and lost weight. My take_a_leak is black, and I've developed a yellow rash. The ache atomic_number_49 my stomach make_up also present."
Typhoid,"I am experiencing constipation and stomach ache, which has been really difficult. The discomfort has gotten worse, and it is seriously interfering with my everyday life."
Dengue,The body painfulness I own been feeling represent extreme. I make lost my appetite and make_grow rash on my arms and face. The hind of my eyes pain amp lot.
Dengue,I have been experiencing chills and shivering. There is a strong pain in my back and also behind my eyes. I have also noticed small red spots on my back and neck. 
urinary tract infection,"i bear to use the restroom frequently, in_time lone adenine few drops of pee are usually produced. My venter aches a lot, and atomic_number_53 can't seem to control the desire to urinate."
GERD,"GERD can besides lead to chest pain, particularly if it mimic symptom of a marrow attack, and may be worsened away sure foods, beverages, or consist down after eating."
Acne,single awake this morning to see that I deliver amp horrible rash all concluded my skin. There are respective comedo and hickey loaded with pus. My skin has also cost scurrying about.
Bronchial Asthma,"I've had ongoing health problems for a week, including a dry cough, breathing difficulties, and general weakness."
Migraine,"Acidity and indigestion are among the digestive problems I've been having, along with regular headaches, blurred vision, increased hunger, stiff neck, sadness, impatience, and visual disruption."
Common Cold,"My sinuses feel incredibly congested, and my eyes are continuously red. I just constantly feel drained and exhausted. In addition, I have a lot of uncomfortable phlegm in my throat. My lymph nodes feel bloated, and breathing has been challenging."
Varicose Veins,"I have detect that the blood vessels inch my legs are getting more obtrusive than usual. It is a fiddling concerning to me. Moreover, ane am experiencing cramps every day."
Acne,My skin has just acquired a nasty rash. It's full of pus-filled pimples and blackheads. My skin has been really sensitive as well.
Chicken pox,I've lost my appetite and can't seem to eat anything. I'm worried about my health.
gastroesophageal reflux disease,"unity start a sour gustation in my backtalk completely the time, even_out when there is zilch acidic in my stomach. I much go the hiccough and have a lump in my throat."
Hypertension,"I've been encountering trouble walking, A headache, chest pain, and dizziness. My concentration skills and focus has also been challenging."
Impetigo,"There are rashes around my nose, with large red sores. I noticed that the rash was spreading to other parts of my body. Also, I have a high fever every night."
Malaria,"I've had acute itching all complete my body, accompanied by chills and vomiting. My fever follow really high and I've been hidrosis excessively. I also have a headache and feel nauseous. My muscles are real painful."
Typhoid,The abdominal pain has been frequent and really painful. Constipation and vomiting have also occurred. I'm quite worried about my health.
Dengue,"I have been vomiting frequently and have lost my appetite as a result. There are rashes on my skin and my eyes pain, because of which I cannot sleep properly."
Acne,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying everywhere.
Psoriasis,"My skin has vary from being less sensitive to being more sensitive. My peel possess a argent coating, especially on my back, elbows and knees."
diabetes,I give_birth rashes and skin annoying especially in the folds of the skin. There is also very slow healing of any cuts and injure atomic_number_53 have on my skin
Dengue,"I've been feeling sick and feel a strong need to vomit. There is a sharp ache behind my eyes, and swollen red dots all over my back."
allergy,"I always feel exhausted, have bad taste, and have an extremely scratchy throat. I also have muscular pain and heat. My entire body simply cramps up occasionally."
Dengue,"My back hurts, and I have rashes on my arms and armpits. The back of my eyeballs hurt a lot. I also have a mild fever, which is make_believe us concerned almost my health."
Common Cold,I can't stop sneezing and I feel really tired and crummy. My throat is really sore and I have a lot of gunky stuff in my nose and throat. My neck feels swollen and puffy too.
peptic ulcer disease,"Due to a stomach discomfort, I have problems sleeping or staying asleep. I am exhausted after using the bathroom and lose my appetite. I'm quite nervous all the time."
Cervical spondylosis,"Back pain, a lingering cough, and muscle weakness have been bothering me. I have issues with dizziness and losing my equilibrium, and my neck hurts."
Migraine,"Along with sightedness problems, increased appetite, a raw neck, melancholy, irritability, and unconstipated headaches, I have also been experiencing acid reflux, indigestion, and shop migraines. My habitue activities have follow made more challenging by these symptoms, which have been make me a great handle of distress."
Dimorphic Hemorrhoids,"I've been bind and it's really hard to give_out to the bathroom. When I do go, it hurts and my stool has equal bloody. I've also been having some pain IN my butt and my anus has been real itchy and irritated."
Bronchial Asthma,"I'm so infirm and exhausted, and my fever is through_and_through the roof. It's been very difficult to manage all of these symptoms, and I've also been cough upwardly a lot of mucus. I'm decent so wild concluded everything."
Dengue,I have been experiencing a severe headache that is accompanied by pain behind my eyes. I feel tired and fatigued because of which I cannot work all day. I am worried about my health.
Jaundice,"I've been losing weight and experiencing nausea, itching, and exhaustion. My shinny has go yellow, and 1 have a severe fever. I have dark-skinned urine, and I've been having digest pain."
drug reaction,"My tongue also changes in taste and scent, leaving a metallic aftertaste. can have excruciating joint and muscle pain"
Malaria,"I've been experiencing severe itching, chills, vomiting, and a high fever. In addition, I have a headache and am perspiring a lot. I've also been bothered by nausea and muscular ache."
Pneumonia,"I'm dripping with perspiration and can't seem to catch my breath. My throat is filled with a lot of phlegm, and I feel awful. My heart is pounding, and my chest aches. I'm coughing up brownish mucous."
Acne,I've just train a severe skin_rash on my skin. It's clogged with pus-filled pimples and blackheads. My skin has also represent rather sensitive.
drug reaction,"ace atomic_number_102 longer desire to have sex, and it's difficult for me to do so. atomic_number_53 regularly have brain fog and ampere signified of confusion."
Fungal infection,"I've been genuinely itchy lately and there are these rashy spots totally over my skin. There are also some areas that appear different Indiana nuance than the rest of my skin, and I've hold close_to gibbosity that cost form of hard."
Jaundice,"I've felt really scratchy, nauseated, and worn out. I also had a high fever and lost weight. Both my skin and my urine have become yellow. I've also been experiencing stomach pain."
Varicose Veins,The veins on my legs cause a lot of discomforts when I sit for long periods of time.
Common Cold,"I've been go_through severe weariness and a sickly sensation. My throat has comprise really painful and I've hold a fairly severe cough. My nose has been quite_a stuffy, and I've accept significant sinus pressure. I'm really miserable and highly exhausted."
Dimorphic Hemorrhoids,"I've been having deoxyadenosine_monophosphate lot of trouble going to the bathroom lately. It's really painful when I do, and there's follow some blood IN my stool. I've also been having some pain and irritation around my anus."
Impetigo,I have spring_up a skin rash on my expression and neck. The efflorescence exist work up of red sore that are blistering. iodin am care about my health.
Fungal infection,"I've let a rash on my skin that tone like dischromic patches, and ace also sustain group_A peck of nodular volcanic_eruption and really bad itching. During the previous week, it has become worse."
Impetigo,"I have noticed that the sores on my face are healing more slowly and are more likely to become infected. My cheek sores are large, painful to the touch, and extremely difficult to handle. I can't seem to get rid of these sores."
Fungal infection,"I've personify experiencing a lot of itching, which experience been accompanied with A rash that appears to atomic_number_4 growing worse over time. There be also certain areas of skin that are unlike colours from the rest, and I've spotted several lump that resemble little nodes."
Fungal infection,"Doctor, My skin is get_across in a very uncomfortable rash, on with some leftover patches of ampere different hue. My skin also has adenine few zit that resemble little burl"
diabetes,"My entire body is trembling and shaky. I've lost my ability to taste and smell, and I'm worn out. I sometimes get a racing heart or palpitations."
Malaria,"I'm suffering from severe itching, chills, vomiting, and a high fever. I've also been sweating a lot and have a headache. Nausea and muscle pain have also been causing me discomfort."
Typhoid,"I Artium_Magister notion quite weak. I'm having a lot of stomach discomfort and constipation, which is truly bothering me. unity get a strong urge to vomit at times, and as angstrom result, ace can't eat anything."
Migraine,"Along with distorted eyesight, excessive appetite, a painful neck, melancholy, irritability, and regular headaches, I have also been experiencing acid reflux, indigestion, and regular headaches."
Migraine,"I have been experiencing acidity, indigestion, and headaches, as well as blurred and distorted vision, excessive hunger, a stiff neck, depression, irritability, and visual disturbance"
drug reaction,"I have headaches and migraines, and I have been having difficulties sleeping. My entire body has been shaking and twitching. Sometimes I become lightheaded."
Common Cold,"My nose feels quite clogged, and my eyes are constantly very red and runny. In addition, my chest hurts and I've been having a lot of breathing problems. In addition, my muscles feel quite painful, and I can't smell anything."
Cervical spondylosis,"I have been experiencing intense back pain, a dry cough, and a lack of strength in my limbs. My neck hurts and I have been feeling dizzy and unsteady on my feet."
allergy,"one have nasal over-crowding and vitamin_A blocked nose. along occasion, during the night, I have rigour and dresser pain. I've also drop_off my senses of savor and smell."
Pneumonia,"I'm suffer problems breathing and have a really gamey fever. I'm perspiring a draw and experiencing extreme fatigue and chilly. My heart is racing, and I'm coughing up some brownish mucus."
Dengue,I have developed rashes on my body. I am also experiencing high fever along with chills and headache. My joints and back hurt and there is a strange pain in the back of my eyes.
Acne,"I've recently struggled with a really irritating skin rash. There are blackheads and pus-filled pimples all over it. Additionally, my skin has been scurring a lot."
Migraine,"unity have been experiencing acidity, indigestion, headaches, and muzzy and color vision, ampere well as undue hunger, a firm neck, depression, irritability, and ocular disturbance."
Varicose Veins,"The veins in my calves are protruding out quite unusually. I am worried about it. Also, I am overweight and I believe this is the reason behind all of this."
drug reaction,I feel very nauseous and have chest pain. Recently I have been experiencing chest pain. I feel very uneasy and often sweat profusely
Arthritis,My neck has live super tight and my muscles have cost feeling extremely weak. It is difficult for ME to move around without becoming stiff ascribable to my vain joints. walk-to has also been passing uncomfortable.
Typhoid,"Symptoms include sustained fever as high as 104°F (40°C), headache, abdominal pain, and weakness."
Arthritis,"I've been experiencing severe muscular weakness, and my neck has been really stiff. I have swollen joints and find it difficult to move about without becoming stiff. It has also been really uncomfortable to walk."
Hypertension,"iodin have been touch_sensation disoriented and dizzy, and have also had disoblige celebrate my balance. My headache has been a constant mien as well."
Common Cold,"I'm constantly sneezing, and the frigidity is fashioning my body tremble. I'm soh exhausted that I can hardly move, and my principal hurts. My fever is quite high."
GERD," GERD can lead to erosion of tooth enamel due to exposure to stomach acid, and it may increase the risk of developing Barrett's esophagus, a precancerous condition."
Bronchial Asthma,"I've been dealing with a bad cough, breathing issues, and drowsiness. I've been coughing up a lot of thick, mucoid sputum and have a high fever. All of this has been really exhausting and exhausting, and right now I'm feeling rather ill."
urinary tract infection,"My sprightliness have been fabulously low, and my pass_water smells awful. My kidney region hurts angstrom_unit lot, and I can't seem to hold my urine in. I generate these undue press all the time."
Chicken pox,"I am starting to develop tiny red spots all over my face and neck area, and it itches when I touch them. The itching is making my day very uncomfortable."
Migraine,"I wealthy_person been suffering from pane reflux, indigestion, and patronise headaches, as well as distorted vision, excessive hunger, a sore neck, depression, irritability, and visual disturbance."
urinary tract infection,I occasionally urinate with blood in it and feel a little queasy. Help! I also occasionally get horrible pee odours and excessive overnight temps.
Arthritis,"I've been experiencing stiffness and weakness Indiana my neck muscles recently. Since my joints have grownup, it's great along behalf of American state to run whereas not getting stiff. additionally, walking has been very uncomfortable."
Common Cold,"I always get hot, puffy eyes and the spirit that something exist obstructing my sinuses. My dresser feels quite heavy, and I've been cough up a lot of gunk. I have no sense of smell, and my muscles hurt a lot."
Arthritis,"My muscles birth been feeling in_truth weak, and my neck suffer been extremely tight. I have swollen roast and find it difficult to move about without becoming stiff. It take_in also been really uncomfortable to walk."
Arthritis,"I've been experiencing muscular weakness and stiffness in my neck recently. My joints have swollen, making it difficult for me to walk about without becoming stiff. Walking has also been excruciatingly uncomfortable."
Jaundice,"I have been experiencing intense itching, vomiting, and fatigue. I have also lost weight and have a high fever. My skin has turned yellow and my urine is dark. I have also been experiencing abdominal pain."
peptic ulcer disease,"Both my appetite and ongoing hunger are fierce. There are times when my stomach hurts and cramps. Following a meal, I have very painful gas and bloating."
Typhoid,"I am experiencing constipation and stand ache. The soreness has gotten worse, and it is seriously interfering with my everyday life. I feel like I birth lost my appetite to feed anything."
peptic ulcer disease,"My mouth personify filled with a sour, acidic flavour. I sustain frequent erupt and burping. My upper abdomen cause felt pressed in Beaver_State full for the past few hours."
Bronchial Asthma,"I have a cough that has continued for days, and I feel really weak and tired. My fever is high, and my breath has become strained. When I cough, I also generate a lot of mucus."
GERD,"GERD can also lead to chest pain, particularly if it mimics symptoms of a heart attack, and may be worsened by certain foods, beverages, or lying down after eating."
Fungal infection,"I have raised lumps, a reckless that looks red and inflamed, discoloured areas of skin that are different colours from the repose of my skin, and itching on my skin."
Malaria,"I've had intense itching all over my body, accompanied by chills and vomiting. My fever is really high and I've been sweating excessively. I also have a headache and feel nauseous. My muscles are really painful."
peptic ulcer disease,Constipated and diarrheal bowel motions have been happening to me. I frequently have a lack of energy and appetite.
Malaria,"I've had intense itching, chills, vomiting, and a high fever. I'm also sweating a lot and have a headache. Nausea and muscle pain have been making me feel miserable."
gastroesophageal reflux disease,"atomic_number_53 feel as though back_breaker or food is back_up up into my throat. My dresser hurts, and lying down makes information_technology worse. afterward eating, ace oftentimes have heartburn or indigestion and throw up."
Psoriasis,"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints."
Chicken pox,"I'm worried about this rash on my skin. It's spreading rapidly and causing a lot of discomforts. I can hardly sleep at night because of the itching,"
Fungal infection,"I've been quite itchy recently, and I have rashy patches all over my skin. There are also certain regions that are darker in colour than the rest of my skin, and I've got some firm lumps."
peptic ulcer disease,"Occasionally throughout the day or at night, I have burning in my upper abdomen. I get indigestion, heartburn, and frequent bouts of extreme nausea."
peptic ulcer disease,"On occasion, throughout the day or at night, ane have burning in my upper_berth abdomen. ace frequently get extreme loathsome episodes, heartburn, and indigestion."
Dimorphic Hemorrhoids,"I've been quite_an constipated lately, and going to the restroom has been agonizingly uncomfortable. I've also observed blood in my stool, and my anus induce cost aggravated."
peptic ulcer disease,ane have a sour acidic taste in my mouth. I sustain sponsor belching and burping. one have group_A feeling of pressure or mellowness in my speed abdomen that last for a few hours
diabetes,"My speak and pharynx equal dry. Additionally, I've equal growing increasingly hungry. However, I do get periodic bouts of exhaustion."
Bronchial Asthma,"I've been coughing nonstop for days, and I also have respiratory issues. My fever is through the roof, and I'm so weak and worn out. All of these symptoms have been really challenging for me to control,"
Chicken pox,"My scrape rash embody giving me vitamin_A dish_out of painful_sensation and discomfort. It's cherry-red and swollen, and it's spread_out throughout my body."
Fungal infection,"Doctor, I have a really itchy rash on my skin and there are some weird spots that are a different color. There are also some bumps on my skin that look like little knots"
Common Cold,"My nose is extremely runny, and I can't seem to stop sneezing. In addition, I constantly feel cold, exhausted, and I've been coughing a lot. My fever is also really high far above normal."
Arthritis,"Recently, the muscles in my neck have become tight and weak. Since my joints have matured, it is difficult for the American government for me to run without becoming stiff. Walking has also been quite unpleasant."
Dimorphic Hemorrhoids,Lately I've embody experiencing constipation and pain_in_the_neck during bowel movements. My anus is really mad and it's been bleeding when I go. It's really irritating and I'm really uncomfortable.
peptic ulcer disease,My bowel movements have become constipated and diarrheal. I often feel quite tired and lack both energy and appetite.
Fungal infection,"My skin has been itching a lot and developing a rash. Additionally, I have a few areas of my skin that are a different hue than the rest of it. Additionally, I have a few firm pimples or breakouts on my skin."
Dengue,"I have been feeling nauseous and have a constant urge to vomit, which is accompanied with mild fever and headache. "
Hypertension,"When I first experienced a headache, chest pain, and lightheadedness, I was out shopping. Since then, it has been difficult for me to concentrate on my work."
allergy,"I have trouble breathing and get short of breath. I have a dry, hacking cough, itchy eyes, and swelling all over my face and body."
Bronchial Asthma,"I've been experiencing shortness of breath, a persistent cough, and a high fever. I've also been producing a lot of thick, mucoid sputum, and I'm feeling so drained and exhausted. It's been so hard to deal with all of this."
Acne,My skin has just acquired a nasty rash. It's full of pus-filled pimples and blackheads. My skin has been actually sensitive equally well.
urinary tract infection,"I've had low temps and blood in my urine for the past three days. My pee smells terrible, and my head hurts so much. Urinary urges seldom occur on cue, and I almost never have any control over when they do."
Typhoid,"I have developed diarrhea. It is attach_to away severe pain in my abdomen area. ace don't experience like eating anything, and almost of the time, I have amp mild headache."
allergy,"I've been losing my appetite and having trouble swallowing. My nose has been running, and I have a sore throat."
allergy,"I sneeze a lot and my nose is running. My eyes ache and are damp, and I frequently croak. My head hurts all the time."
